Drill Listing
=============
Drill: .004  Tool: 1  Feed: 0  Speed: 0
X -23200  Y 286600
X -7629  Y 284241
X -20600  Y 281800
X -15594  Y 281688
X -29400  Y 281400
X -11401  Y 281333
X -27600  Y 280200
X -10190  Y 280165
X -17538  Y 280085
X -23756  Y 276543
X -18000  Y 274400
X -20600  Y 274200
X -10200  Y 271800
X -25400  Y 271500
X -25600  Y 266000
X -23200  Y 263800
X -26400  Y 261800
X -26200  Y 259400
X -23800  Y 255600
X -24800  Y 253000
X -19600  Y 252200
X -14600  Y 248600
X -24800  Y 247200
X -19000  Y 246200
X -14600  Y 245400
X -20400  Y 244800
X -10000  Y 241600
X -15400  Y 241200
X -22000  Y 240200
X -18200  Y 240000
X -14600  Y 238600
X -10800  Y 238400
X -22000  Y 236800
X -18200  Y 236600
X -14600  Y 235400
X -10800  Y 235400
X -18200  Y 235000
X -24737  Y 234235
X -16200  Y 232400
X -10800  Y 232200
X -24727  Y 229583
X -10800  Y 229000
X -16200  Y 228800
X -19800  Y 226400
X -16200  Y 225400
X -24690  Y 224595
X -19800  Y 222800
X -24879  Y 220226
X -19800  Y 219400
X -19200  Y 215085
X -20153  Y 214132
X -22968  Y 213806
X -25067  Y 213350
X -22968  Y 212490
X -18400  Y 207000
X -29600  Y 206000
X -27152  Y 201245
X -15200  Y 200400
X -15200  Y 196800
X -27200  Y 196800
X -15200  Y 193400
X -27200  Y 193200
X -8015  Y 191835
X -17000  Y 190600
X -27200  Y 189800
X -17000  Y 187000
X -13124  Y 186933
X -8499  Y 186657
X -17000  Y 183600
X -8084  Y 182653
X -13814  Y 181825
X -7808  Y 177752
X -24452  Y 177537
X -13193  Y 177338
X -28000  Y 174200
X -8361  Y 172919
X -25800  Y 172600
X -27300  Y 166800
X -27034  Y 165050
X -21600  Y 163400
X -28400  Y 163000
X -27581  Y 161404
X -27380  Y 159044
X -15000  Y 158600
X -20821  Y 156904
X -27581  Y 156604
X -32600  Y 154700
X -26600  Y 154400
X -13400  Y 154200
X -27581  Y 151804
X -20890  Y 151726
X -15000  Y 151600
X -29800  Y 151200
X -21235  Y 147308
X -12387  Y 144000
X -20959  Y 142406
X -14787  Y 142200
X -26689  Y 141440
X -12387  Y 139200
X -14787  Y 137400
X -28800  Y 137000
X -26400  Y 136800
X -18200  Y 134400
X -21374  Y 133984
X -28400  Y 132600
X -21987  Y 129600
X -27034  Y 129221
X -28400  Y 127800
X -18187  Y 124800
X -26931  Y 124319
X -28600  Y 123400
X -28600  Y 118600
X -26793  Y 118037
X -28600  Y 115600
X -27276  Y 113343
X -28600  Y 110800
X -27069  Y 107751
X -28800  Y 106400
X -27800  Y 104800
X -28000  Y 102800
X -26800  Y 102800
X -28000  Y 101200
X -26800  Y 101200
X -12387  Y 100800
X -24800  Y 97400
X -22300  Y 95900
X -25600  Y 91400
X -22300  Y 91100
X -22300  Y 86300
X -25600  Y 86000
X -15687  Y 85300
X -14000  Y 81600
X -17200  Y 81600
X -22300  Y 81500
X -25600  Y 81000
X -12400  Y 80000
X -15600  Y 80000
X -9200  Y 78400
X -12400  Y 78400
X -15600  Y 78400
X -25600  Y 77800
X -22300  Y 76800
X -17187  Y 76800
X -15600  Y 75200
X -9200  Y 75200
X -12400  Y 75200
X -25600  Y 74000
X -12400  Y 73600
X -15600  Y 73600
X -9200  Y 73600
X -31142  Y 72337
X -15600  Y 72000
X -22300  Y 71800
X -15600  Y 70400
X -9200  Y 70400
X -12400  Y 70400
X -25600  Y 69600
X -15600  Y 68800
X -12400  Y 68800
X -9200  Y 68800
X -31211  Y 68195
X -15600  Y 67200
X -22300  Y 67100
X -12400  Y 65600
X -15600  Y 65600
X -9200  Y 65600
X -25600  Y 65400
X -15600  Y 64000
X -9200  Y 64000
X -31142  Y 63431
X -22300  Y 62400
X -12387  Y 62400
X -15600  Y 62400
X -25600  Y 62000
X -15600  Y 60800
X -9200  Y 60800
X -15600  Y 59200
X -12400  Y 59200
X -9200  Y 59200
X -21800  Y 58400
X -30590  Y 58116
X -25600  Y 57600
X -9200  Y 56000
X -12400  Y 56000
X -15600  Y 56000
X -12400  Y 54400
X -9200  Y 54400
X -30175  Y 53283
X -25600  Y 53000
X -22300  Y 53000
X -12400  Y 51200
X -9200  Y 51200
X -12400  Y 49600
X -9200  Y 49600
X -17187  Y 48000
X -29200  Y 47800
X -23400  Y 46800
X -12400  Y 46400
X -9200  Y 46400
X -31400  Y 45800
X -26200  Y 45200
X -29600  Y 45000
X -24000  Y 44800
X -9200  Y 44800
X -12400  Y 44800
X -25343  Y 42790
X -30400  Y 42600
X -20800  Y 41800
X -12400  Y 41600
X -9200  Y 41600
X -12400  Y 40000
X -9200  Y 40000
X -21408  Y 39684
X -24200  Y 38600
X -9200  Y 38400
X -17956  Y 36232
X -24307  Y 36163
X -30200  Y 35600
X -15200  Y 34400
X -17187  Y 33600
X -21987  Y 33600
X -26787  Y 33600
X -12387  Y 33600
X -20580  Y 31538
X -15885  Y 31538
X -29140  Y 31469
X -24000  Y 30800
X -21987  Y 28800
X -17187  Y 28800
X -14919  Y 26981
X -19130  Y 26567
X -14400  Y 24200
X -23200  Y 23800
X -19400  Y 22600
X -17200  Y 22200
X -15600  Y 22200
X -8800  Y 20200
X -18600  Y 19800
X -11851  Y 16959
X -14400  Y 16800
X -19751  Y 16557
X -19475  Y 11794
X -24446  Y 11449
X -15264  Y 11311
X 4548  Y 16764
X 9035  Y 16833
X 199  Y 16833
X 12970  Y 16833
X -5599  Y 16971
X 17112  Y 17300
X -2787  Y 19200
X 2012  Y 19200
X 6812  Y 19200
X 11612  Y 19200
X -6000  Y 20000
X 17112  Y 20600
X -491  Y 21528
X 4203  Y 21528
X 10071  Y 21528
X -2767  Y 23428
X 2032  Y 23428
X 6832  Y 23428
X 11632  Y 23428
X 6000  Y 27000
X 12400  Y 27000
X 1600  Y 27000
X 2012  Y 33600
X 6812  Y 33600
X -1600  Y 34400
X 5200  Y 35200
X 400  Y 36800
X 5200  Y 36800
X -6000  Y 36800
X -4400  Y 38400
X 400  Y 38400
X 5200  Y 38400
X 400  Y 40000
X 5200  Y 40000
X 6800  Y 40000
X -6000  Y 41600
X 6812  Y 41600
X 3600  Y 41600
X 400  Y 41600
X -2812  Y 41600
X -6000  Y 44800
X 6800  Y 44800
X 400  Y 44800
X 3587  Y 44800
X 10000  Y 44800
X -2812  Y 44800
X -6000  Y 46400
X 6800  Y 46400
X 400  Y 46400
X 3587  Y 46400
X 10000  Y 46400
X -2812  Y 46400
X -6000  Y 49600
X 13212  Y 49600
X 10000  Y 49600
X 412  Y 49600
X 3612  Y 49600
X 6800  Y 49600
X -2812  Y 49600
X -6000  Y 51200
X 13212  Y 51200
X 412  Y 51200
X 3612  Y 51200
X 6800  Y 51200
X 10000  Y 51200
X -2812  Y 51200
X 17000  Y 51600
X -6000  Y 54400
X 13212  Y 54400
X 400  Y 54400
X 3600  Y 54400
X 6800  Y 54400
X 10000  Y 54400
X -2800  Y 54400
X -6000  Y 56000
X 13212  Y 56000
X 400  Y 56000
X 3600  Y 56000
X 6800  Y 56000
X 10000  Y 56000
X -2800  Y 56000
X 6812  Y 59200
X 3600  Y 59200
X -6000  Y 59200
X -2800  Y 59200
X 10012  Y 59200
X 400  Y 59200
X -2800  Y 60800
X 3600  Y 60800
X -6000  Y 60800
X 6812  Y 60800
X 400  Y 60800
X -6000  Y 64000
X -2800  Y 64000
X 3587  Y 64000
X 400  Y 64000
X -6000  Y 65600
X 3587  Y 65600
X -2800  Y 65600
X 400  Y 65600
X -2800  Y 68800
X -6000  Y 68800
X -2800  Y 70400
X -6000  Y 70400
X -6000  Y 73600
X 16400  Y 74600
X -6000  Y 75200
X -1800  Y 89800
X -1287  Y 92600
X 2012  Y 96900
X -1687  Y 98000
X -7587  Y 100000
X 2012  Y 110400
X -2787  Y 110400
X 5512  Y 110400
X 5512  Y 115200
X 2012  Y 115200
X -392  Y 117744
X -2787  Y 120000
X -7587  Y 120000
X 13000  Y 122000
X -2400  Y 131000
X 13200  Y 132000
X -1087  Y 132500
X -2800  Y 138200
X 13200  Y 139000
X -2800  Y 141600
X -2800  Y 145200
X 4800  Y 147200
X 3000  Y 147200
X 6200  Y 148400
X -987  Y 150000
X 11612  Y 153600
X 6812  Y 153600
X 10000  Y 166000
X 3582  Y 173472
X 9887  Y 173726
X 14687  Y 173726
X -2079  Y 177476
X 9450  Y 179478
X 15041  Y 180306
X 3513  Y 181687
X -2700  Y 182101
X 9657  Y 184448
X 14972  Y 186450
X -2217  Y 186795
X 3444  Y 186864
X 9450  Y 190523
X 3996  Y 192042
X 15180  Y 193561
X 9657  Y 197081
X 14627  Y 200257
X -2700  Y 200499
X 11828  Y 200927
X 1754  Y 200984
X 9450  Y 203156
X 15041  Y 204468
X 11400  Y 204800
X 3651  Y 205780
X 9588  Y 208196
X 11000  Y 213600
X 16800  Y 216800
X 15200  Y 218400
X -3800  Y 218800
X -600  Y 218800
X 3200  Y 219000
X 6400  Y 219000
X 16800  Y 220000
X 15200  Y 221600
X 12000  Y 221600
X -600  Y 222000
X -3800  Y 222000
X 3200  Y 222200
X 6400  Y 222200
X 16800  Y 223200
X 15200  Y 224800
X -600  Y 225200
X -3800  Y 225200
X 3200  Y 225400
X 6400  Y 225400
X 10600  Y 226000
X 13800  Y 226000
X -600  Y 229000
X -3800  Y 229000
X -7600  Y 229000
X 10600  Y 229200
X 3200  Y 229200
X 13800  Y 229200
X 6400  Y 229200
X -600  Y 232200
X -7600  Y 232200
X -3800  Y 232200
X 10600  Y 232400
X 6400  Y 232400
X 3200  Y 232400
X 13800  Y 232400
X -7600  Y 235400
X 12200  Y 236000
X 6000  Y 237200
X -600  Y 237200
X 13800  Y 237200
X 10200  Y 237200
X 2800  Y 237200
X 4800  Y 241400
X -3800  Y 242600
X -7400  Y 243000
X 400  Y 247200
X 5600  Y 248800
X -1800  Y 249000
X -3400  Y 249200
X 0  Y 249600
X 12800  Y 256000
X 10400  Y 257800
X -1800  Y 259100
X 14000  Y 260200
X -400  Y 261200
X -4600  Y 263000
X 4000  Y 263000
X -2600  Y 266000
X 13400  Y 266200
X -7600  Y 269400
X 13400  Y 269600
X -1200  Y 269800
X 8800  Y 269800
X 4000  Y 270000
X -6000  Y 271800
X 15800  Y 273600
X 9200  Y 277400
X -5200  Y 277800
X -1800  Y 278000
X 2200  Y 279200
X -1600  Y 280400
X -4800  Y 281400
X 5131  Y 285215
X 6400  Y 286572
X -4400  Y 287600
X 3559  Y 287761
X 800  Y 290800
X 7222  Y 290919
X 5595  Y 290977
X 7200  Y 304600
X 5995  Y 305785
X 8400  Y 310000
X -3200  Y 311200
X 1200  Y 311200
X -7200  Y 311200
X 6615  Y 315716
X -1376  Y 317553
X 17000  Y 317600
X -6400  Y 319000
X 3048  Y 320625
X 16600  Y 321400
X -6400  Y 322200
X 4600  Y 324400
X -1600  Y 325400
X 14000  Y 327000
X 200  Y 328600
X -6800  Y 328600
X -3000  Y 328600
X 4000  Y 328600
X 7800  Y 328600
X 12568  Y 330713
X 10778  Y 331845
X 9380  Y 332839
X 15800  Y 333400
X -463  Y 335089
X -2199  Y 335089
X -3766  Y 335089
X 854  Y 336406
X -5865  Y 337726
X 1400  Y 338200
X 15800  Y 338800
X 3600  Y 339600
X -5839  Y 339846
X -1795  Y 349507
X -6900  Y 351700
X 14800  Y 354800
X 1489  Y 357387
X -4400  Y 358800
X -7100  Y 359000
X 9400  Y 359000
X 12600  Y 359000
X 16400  Y 359200
X 5400  Y 362800
X -1600  Y 362800
X 9400  Y 363000
X 2200  Y 363000
X 12600  Y 363000
X 16400  Y 363200
X -5200  Y 364200
X 12600  Y 366800
X 9400  Y 366800
X 16400  Y 367000
X -5200  Y 368000
X 12600  Y 370000
X -1600  Y 370000
X 9400  Y 370000
X 1600  Y 370000
X 16400  Y 370200
X 5400  Y 370200
X -5200  Y 371200
X 35400  Y 365400
X 27000  Y 365000
X 21800  Y 363200
X 35400  Y 362200
X 40800  Y 360800
X 35400  Y 358400
X 35400  Y 355200
X 29200  Y 354600
X 31200  Y 354600
X 33600  Y 351600
X 38600  Y 351600
X 33600  Y 348400
X 38600  Y 347800
X 33600  Y 344600
X 38600  Y 344600
X 27200  Y 339400
X 20400  Y 321400
X 23600  Y 321400
X 27400  Y 321400
X 31200  Y 321400
X 35600  Y 321400
X 39400  Y 321400
X 35200  Y 318200
X 39000  Y 318200
X 42200  Y 318200
X 20800  Y 317600
X 24000  Y 317600
X 27800  Y 317600
X 31600  Y 317600
X 18600  Y 313800
X 32107  Y 313402
X 26900  Y 313400
X 25000  Y 313300
X 29375  Y 305112
X 34515  Y 298884
X 36432  Y 298862
X 38659  Y 298814
X 40000  Y 296400
X 36200  Y 290800
X 41600  Y 290800
X 26000  Y 286800
X 25121  Y 285078
X 21600  Y 274600
X 20200  Y 274600
X 35400  Y 270000
X 18400  Y 269600
X 35000  Y 268400
X 18400  Y 266400
X 39000  Y 266200
X 35200  Y 264800
X 26400  Y 264400
X 26400  Y 261200
X 41800  Y 260200
X 41800  Y 258600
X 39600  Y 258600
X 41800  Y 257000
X 39600  Y 257000
X 18600  Y 256200
X 24800  Y 242800
X 40800  Y 242800
X 31200  Y 242800
X 34400  Y 242800
X 26400  Y 237200
X 18600  Y 237200
X 23200  Y 237200
X 39200  Y 237200
X 36000  Y 237200
X 29600  Y 237200
X 19400  Y 234600
X 21600  Y 234400
X 40800  Y 234400
X 37600  Y 234400
X 34400  Y 234400
X 31200  Y 234400
X 26800  Y 234400
X 39200  Y 232800
X 36000  Y 232800
X 32800  Y 232800
X 29600  Y 232800
X 26400  Y 232800
X 23200  Y 232800
X 40800  Y 231200
X 37600  Y 231200
X 34400  Y 231200
X 31200  Y 231200
X 21600  Y 231200
X 24800  Y 231200
X 28000  Y 231200
X 36000  Y 229600
X 39200  Y 229600
X 29600  Y 229600
X 26400  Y 229600
X 20000  Y 229600
X 23200  Y 229600
X 34400  Y 228000
X 31200  Y 228000
X 40800  Y 228000
X 37600  Y 228000
X 21600  Y 228000
X 24800  Y 228000
X 18400  Y 228000
X 28000  Y 228000
X 32800  Y 226400
X 29600  Y 226400
X 20000  Y 226400
X 26400  Y 226400
X 36000  Y 226400
X 23200  Y 226400
X 39200  Y 226400
X 40800  Y 224800
X 31200  Y 224800
X 37600  Y 224800
X 34400  Y 224800
X 21600  Y 224800
X 24800  Y 224800
X 18400  Y 224800
X 28000  Y 224800
X 29600  Y 223200
X 23200  Y 223200
X 26400  Y 223200
X 39200  Y 223200
X 32800  Y 223200
X 20000  Y 223200
X 36000  Y 223200
X 24800  Y 221600
X 21600  Y 221600
X 18400  Y 221600
X 34400  Y 221600
X 31200  Y 221600
X 40800  Y 221600
X 28000  Y 221600
X 37600  Y 221600
X 20000  Y 220000
X 32800  Y 220000
X 29600  Y 220000
X 36000  Y 220000
X 39200  Y 220000
X 26400  Y 220000
X 23200  Y 220000
X 40800  Y 218400
X 31200  Y 218400
X 37600  Y 218400
X 34400  Y 218400
X 21600  Y 218400
X 18400  Y 218400
X 28000  Y 218400
X 24800  Y 218400
X 26570  Y 214754
X 31195  Y 210336
X 26570  Y 209093
X 37132  Y 206953
X 21428  Y 205727
X 18976  Y 205365
X 39200  Y 202400
X 31610  Y 201085
X 26639  Y 199152
X 35900  Y 197700
X 37200  Y 187200
X 34800  Y 187200
X 21200  Y 185800
X 27600  Y 185800
X 32576  Y 184724
X 37339  Y 184034
X 21255  Y 180582
X 37201  Y 180375
X 26708  Y 180237
X 38400  Y 177600
X 34647  Y 177476
X 20978  Y 176095
X 27537  Y 174783
X 19487  Y 173726
X 38400  Y 172800
X 41965  Y 171884
X 38400  Y 170400
X 36000  Y 170400
X 38400  Y 168000
X 26700  Y 165100
X 28400  Y 164900
X 35612  Y 158400
X 18600  Y 158400
X 22000  Y 157800
X 35612  Y 153600
X 30812  Y 150500
X 30812  Y 146500
X 38513  Y 145513
X 35612  Y 144000
X 37961  Y 140681
X 35612  Y 139200
X 40412  Y 139200
X 26012  Y 134400
X 35612  Y 134400
X 35612  Y 129600
X 42172  Y 123215
X 35612  Y 120000
X 40412  Y 120000
X 37892  Y 118383
X 33543  Y 116864
X 35612  Y 115200
X 30812  Y 115200
X 39000  Y 115000
X 37823  Y 112929
X 33335  Y 112791
X 35612  Y 110400
X 30812  Y 110400
X 35612  Y 105600
X 35612  Y 100800
X 40412  Y 100800
X 30812  Y 100800
X 30812  Y 96000
X 35612  Y 91200
X 40412  Y 91200
X 30812  Y 91200
X 40412  Y 86400
X 18812  Y 85400
X 20412  Y 83400
X 35612  Y 81600
X 30812  Y 81600
X 20212  Y 79600
X 22712  Y 79300
X 21233  Y 77870
X 40412  Y 76800
X 20212  Y 76100
X 21212  Y 72000
X 27600  Y 69800
X 27600  Y 68600
X 30600  Y 49200
X 28579  Y 44966
X 32583  Y 44690
X 38037  Y 44621
X 30812  Y 43200
X 35612  Y 43200
X 33335  Y 41617
X 41689  Y 41064
X 21047  Y 34644
X 25811  Y 34575
X 32369  Y 34299
X 38400  Y 27000
X 35821  Y 21459
X 31264  Y 21459
X 24982  Y 21459
X 39812  Y 20600
X 24112  Y 19000
X 41343  Y 16005
X 66748  Y 16695
X 62261  Y 16764
X 64412  Y 19200
X 55112  Y 21500
X 55200  Y 26400
X 66200  Y 27000
X 60200  Y 27000
X 63200  Y 29800
X 66748  Y 36508
X 57600  Y 38400
X 64412  Y 38400
X 48109  Y 40926
X 53010  Y 40926
X 66748  Y 41410
X 48530  Y 44621
X 55700  Y 44900
X 42938  Y 44966
X 51913  Y 48913
X 65781  Y 48920
X 44795  Y 48982
X 65000  Y 56800
X 59200  Y 56800
X 58600  Y 59200
X 66000  Y 59200
X 48040  Y 63293
X 59499  Y 64053
X 60880  Y 69437
X 54253  Y 71785
X 64412  Y 72000
X 59612  Y 72000
X 61778  Y 73303
X 59612  Y 76800
X 45212  Y 76800
X 64412  Y 76800
X 67162  Y 78964
X 60673  Y 79102
X 64412  Y 81600
X 50012  Y 86400
X 58900  Y 88200
X 64412  Y 91200
X 45212  Y 91200
X 58800  Y 92400
X 64412  Y 96000
X 64412  Y 100800
X 50012  Y 100800
X 47200  Y 101400
X 57212  Y 103400
X 50012  Y 105600
X 59812  Y 105900
X 56000  Y 107600
X 60800  Y 109200
X 50012  Y 110400
X 66630  Y 111570
X 48800  Y 112200
X 56000  Y 112200
X 42655  Y 112653
X 65875  Y 112970
X 65550  Y 114530
X 56700  Y 115000
X 50012  Y 115200
X 44200  Y 115800
X 65200  Y 116000
X 47900  Y 116700
X 52734  Y 117071
X 65440  Y 117470
X 42862  Y 117899
X 66070  Y 118750
X 59400  Y 118800
X 50012  Y 120000
X 66720  Y 120020
X 57200  Y 120200
X 56000  Y 122500
X 48316  Y 124043
X 54812  Y 124800
X 55800  Y 133800
X 54600  Y 133800
X 53400  Y 133800
X 50012  Y 139200
X 54812  Y 139200
X 45212  Y 139200
X 48523  Y 141785
X 54736  Y 143442
X 65800  Y 144200
X 62000  Y 144200
X 60200  Y 144200
X 64000  Y 144200
X 47418  Y 146341
X 57540  Y 148120
X 50012  Y 148800
X 54812  Y 148800
X 60360  Y 151820
X 62770  Y 153290
X 54812  Y 153600
X 50012  Y 153600
X 57130  Y 154815
X 60595  Y 155875
X 45212  Y 158400
X 50012  Y 158400
X 54812  Y 158400
X 60655  Y 159690
X 51905  Y 160515
X 55426  Y 161046
X 58715  Y 162275
X 52800  Y 163200
X 48000  Y 163200
X 61360  Y 163685
X 60595  Y 166035
X 55219  Y 167466
X 48000  Y 168000
X 43200  Y 168000
X 61300  Y 168680
X 46728  Y 170227
X 62125  Y 173205
X 55979  Y 173886
X 48000  Y 177600
X 52800  Y 177600
X 64885  Y 178020
X 60880  Y 178580
X 55564  Y 179685
X 67200  Y 182400
X 57600  Y 182400
X 61294  Y 183965
X 49282  Y 184862
X 55357  Y 185415
X 42793  Y 186795
X 57600  Y 187200
X 52800  Y 187200
X 61018  Y 189073
X 62400  Y 192000
X 48937  Y 193077
X 43000  Y 193215
X 62400  Y 196800
X 62000  Y 214800
X 56800  Y 218400
X 53600  Y 218400
X 60000  Y 218400
X 63200  Y 218400
X 66400  Y 218400
X 50400  Y 218400
X 47200  Y 218400
X 44000  Y 218400
X 52000  Y 220000
X 61600  Y 220000
X 55200  Y 220000
X 58400  Y 220000
X 45600  Y 220000
X 64800  Y 220000
X 48800  Y 220000
X 42400  Y 220000
X 66400  Y 221600
X 60000  Y 221600
X 63200  Y 221600
X 56800  Y 221600
X 53600  Y 221600
X 47200  Y 221600
X 50400  Y 221600
X 44000  Y 221600
X 64800  Y 223200
X 58400  Y 223200
X 61600  Y 223200
X 48800  Y 223200
X 45600  Y 223200
X 66400  Y 224800
X 60000  Y 224800
X 63200  Y 224800
X 56800  Y 224800
X 44000  Y 224800
X 47200  Y 224800
X 55200  Y 226400
X 61600  Y 226400
X 42400  Y 226400
X 64800  Y 226400
X 45600  Y 226400
X 56800  Y 228000
X 53600  Y 228000
X 63200  Y 228000
X 47200  Y 228000
X 44000  Y 228000
X 66400  Y 228000
X 52000  Y 229600
X 55200  Y 229600
X 61600  Y 229600
X 45600  Y 229600
X 42400  Y 229600
X 48800  Y 229600
X 64800  Y 229600
X 53600  Y 231200
X 60000  Y 231200
X 50400  Y 231200
X 47200  Y 231200
X 66400  Y 231200
X 63200  Y 231200
X 55200  Y 232800
